metric,current_value,previous_value,change_percent,extracted_date
total_clicks,93,56,66.1,2026-01-14T10:00:00Z
total_impressions,28200,32300,-12.8,2026-01-14T10:00:00Z
average_ctr,0.7,0.2,250.0,2026-01-14T10:00:00Z
average_position,48.8,53.3,8.4,2026-01-14T10:00:00Z
website_health_score,100,,,2026-01-14T10:00:00Z
date_range,1 Jul 2025 - 31 Dec 2025,,,2026-01-14T10:00:00Z
