issue_type,severity,count,status,description,extracted_date
"Missing Title Tags",error,1,open,"Pages missing title tags",2026-01-14
"Missing Meta Descriptions",error,1,open,"Pages missing meta descriptions",2026-01-14
"Missing Canonical Tags",error,1,open,"Pages missing canonical tags",2026-01-14
