device_type,clicks,impressions,ctr,position,change_percent,extracted_date
MOBILE,50,5506,0.9,44.5,50.0,2026-01-14
DESKTOP,43,22675,0.2,49.9,27.9,2026-01-14
TABLET,0,35,0,11.8,40.0,2026-01-14
